"889","http://mall.club.lenovo.com.cn","联想积分乐园-联想社区","nginx/1.12.2","PHP/5.6.32","200","42.159.28.67","2020年9月24日 04:33"
"888","http://csapi.lenovo.com.cn","Lenovo","Microsoft-IIS/10.0","ASP.NET","200","43.255.226.122","2020年9月24日 04:32"
"887","http://file.design.lenovo.com.cn","获取失败","Tengine","获取失败","404","183.232.151.213","2020年9月24日 04:32"
"886","https://sdi.lenovo.com.cn:84","获取失败","Microsoft-IIS/8.5","ASP.NET","200","43.255.226.133","2020年9月24日 04:32"
"885","http://funtv.vgs.lenovo.com.cn","导航页游戏模块","获取失败","获取失败","200","47.95.178.31","2020年9月24日 04:32"
"884","http://jzhedm.lenovo.com.cn","活动已关闭","获取失败","获取失败","200","114.55.207.178","2020年9月24日 04:32"
"883","http://17shop.lenovo.com.cn","502 Bad Gateway","nginx/1.6.2","获取失败","502","43.255.226.75","2020年9月24日 04:32"
"882","http://srmtest.lenovo.com.cn","Logon - Welcome To Lenovo Supplier Self-Service","获取失败","获取失败","200","43.255.226.184","2020年9月24日 04:32"
"881","http://chuangyi.lenovo.com.cn","联想短网址","lenovoshoturl1","获取失败","200","43.255.226.20","2020年9月24日 04:32"
"880","http://gcc.lenovo.com.cn","获取失败","获取失败","获取失败","200","47.95.72.195","2020年9月24日 04:31"
"879","http://www.ms.lenovo.com.cn","获取失败","nginx","获取失败","200","123.125.148.46","2020年9月24日 04:31"
"878","http://pcsdgslb1.lenovo.com.cn","获取失败","获取失败","获取失败","200","39.106.232.147","2020年9月24日 04:31"
"877","http://fans.lenovo.com.cn","404 Not Found","nginx","获取失败","404","42.159.96.48","2020年9月24日 04:30"
"876","https://smarthome.lenovo.com.cn","联想SIoT开发平台—首页","获取失败","获取失败","200","47.95.69.85","2020年9月24日 04:30"
"875","http://pcsdgslb2.lenovo.com.cn","403 Forbidden","获取失败","获取失败","403","59.110.148.212","2020年9月24日 04:30"
"874","http://myaiot.lenovo.com.cn","精灵谷-产业智联云平台","nginx/1.16.1","获取失败","200","40.73.34.232","2020年9月24日 04:30"
"873","http://driver.mbgcdn.lenovo.com.cn","403 Forbidden","获取失败","获取失败","403","39.96.145.252","2020年9月24日 04:29"
"872","http://ec3.lenovo.com.cn","503 Service Temporarily Unavailable","获取失败","获取失败","503","42.121.254.38","2020年9月24日 04:29"
"871","http://pr1-gtbpagemb.mbgcdn.lenovo.com.cn","获取失败","获取失败","获取失败","200","182.92.74.21","2020年9月24日 04:29"
"870","http://qas-pic.btr.lenovo.com.cn","Welcome to nginx!","nginx","获取失败","200","146.196.114.171","2020年9月24日 04:29"
"869","https://slb-browser-traffic.mbgcdn.lenovo.com.cn","获取失败","获取失败","获取失败","200","39.96.108.188","2020年9月24日 04:28"
"868","https://ip.lenovo.com.cn","502 Bad Gateway","获取失败","获取失败","502","39.107.222.167","2020年9月24日 04:28"
"867","https://skynet.lenovo.com.cn","登录-智云管理系统","Apache-Coyote/1.1","获取失败","200","43.255.226.57","2020年9月24日 04:28"
"866","http://ms.lenovo.com.cn","获取失败","nginx","获取失败","200","123.125.148.46","2020年9月24日 04:27"
"865","http://smart.lenovo.com.cn","502 Bad Gateway","获取失败","获取失败","502","47.95.71.249","2020年9月24日 04:27"
"864","https://ssm-admin.gcc.lenovo.com.cn","vue-element-admin","Tengine","获取失败","200","112.19.0.214","2020年9月24日 04:27"
